0	"1,8,20,28,46,75,154,156,168"
1	"13,17,21,34,37,50,63,78,107,116,148,174,193,194,197,198"
2	"9,19,42,53,130,145,146,155,175,195"
3	"25,51,54,121,126,150,162,185,187"
4	"11,16,23,47,65,87,93,101,123,134,199"
5	"2,61,90,94,114,128,141,158,176,179"
6	"5,24,69,86,95,98,113,119,144,184,189"
7	"27,41,44,108,118,120,125,127,136,172,188,192"
8	"33,45,67,124,137,153,166"
9	"10,55,79,81,103,161,171"
10	"7,32,35,60,138,140,157,163,164"
11	"29,73,77,80,96,104,131,177"
12	"6,83,97,102,111,117,133,142,159,183"
13	"26,31,43,76,82,129,170,178,196"
14	"14,30,56,59,135,165"
15	"22,39,48,57,68,89,99,112,115,122,149,152,167,169,191,200"
16	"3,15,18,52,64,66,85,88,91,106,139,190"
17	"12,38,40,58,62,70,109,110,132,173,186"
18	"49,71,72,74,92,143,151,182"
19	"4,36,84,100,105,147,160,180,181"
