0	"40,78,103,115,136,167,184,196"
1	"61,93,117,125,166,170,172"
2	"8,23,27,71,114,134,149,174,181,182"
3	"19,47,96,110,132,157,173,179"
4	"21,22,64,81,123,145,168"
5	"6,7,34,48,51,55,74,87,98,107,113,128,188"
6	"3,44,46,54,88,119,121,139,171,183,185,194"
7	"20,26,31,42,97,105,122,140,151,161,200"
8	"9,11,14,53,73,83,108,112,133,142,148,180,189,199"
9	"28,58,92,126,137,156,192"
10	"4,5,17,35,38,70,100,102,106,116,130,135,141,165"
11	"13,50,68,72,99,111,124,131,153,162"
12	"12,30,43,45,91,95,169"
13	"25,33,69,89,158,186,191"
14	"49,52,60,62,75,80,118,127,143,147,150,154,155,164,190"
15	"41,56,59,82,90,101,146,193"
16	"18,29,37,57,63,65,66,86,94,104,109,138,144,159,160,177"
17	"15,24,32,76,85,152,163,176,195"
18	"16,79,84,175,178,187,197,198"
19	"1,2,10,36,39,67,77,120,129"
