0	"65,123,201,209,227,327,335,338,376,379,413,420,448,480,484,527,538,541,544,560,616,625,691,698,701,705,722,749,763,772,790,814,918,927,930,940,953,983"
1	"19,47,54,76,84,109,119,137,148,171,178,185,219,250,253,257,259,285,312,320,331,333,377,455,461,470,506,542,550,586,628,630,645,668,774,779,784,789,792,801,810,811,813,818,823,828,874,907,917,951,952,974,985,994"
2	"25,26,46,57,64,85,94,110,135,143,162,211,226,231,244,245,247,282,283,290,340,370,410,440,443,456,466,467,474,495,521,529,585,618,626,636,637,647,654,671,683,706,744,746,757,761,794,819,827,833,844,860,861,891,892,939,949,966"
3	"35,39,59,90,95,134,161,300,326,387,398,401,428,432,472,535,536,561,578,590,600,617,633,649,669,678,679,695,703,710,713,731,751,771,857,859,871,885,890,893,921,924,937,971,986"
4	"5,12,53,56,96,126,129,167,183,217,240,248,254,276,281,294,304,315,316,378,390,406,469,491,510,518,543,546,551,588,606,622,659,670,672,704,737,739,741,760,798,822,825,845,870,883,900,919,955"
5	"1,10,41,83,127,154,157,164,166,173,204,214,220,313,318,351,359,396,409,490,493,496,508,525,563,583,592,597,602,604,610,665,748,754,758,773,785,836,847,862,864,869,876,886,922,931,959,987"
6	"32,71,74,86,89,97,108,117,120,136,142,144,156,195,197,213,216,225,234,251,268,284,341,345,360,400,438,446,458,462,465,492,526,531,533,537,559,573,593,601,658,674,723,777,846,849,850,880,964"
7	"15,49,61,75,105,122,133,168,174,180,181,184,191,210,223,277,278,311,337,354,372,380,381,393,445,468,471,475,540,545,587,605,635,644,650,653,657,661,689,692,707,720,724,743,755,765,768,770,848,866,887,898,903,938,975,991,993"
8	"34,43,80,106,118,155,160,165,182,208,236,238,258,269,271,291,319,330,350,366,389,405,407,431,457,478,481,485,567,581,591,598,631,642,666,693,702,711,715,729,738,750,780,793,803,826,835,851,854,875,889,897,914,915,933,947,957,989"
9	"11,24,51,62,88,93,101,125,138,169,190,255,270,292,295,297,309,349,356,363,375,392,394,412,507,522,552,566,568,596,641,652,662,675,686,688,696,697,699,700,767,781,806,807,863,888,928,948,956,967"
10	"2,8,14,22,27,28,31,100,102,103,152,235,249,308,336,342,357,374,383,408,416,430,437,439,442,454,459,497,498,504,519,571,623,646,660,667,676,708,719,733,735,776,802,824,877,881,882,972,973,990,997"
11	"29,72,73,82,91,99,111,121,145,163,175,198,202,206,256,263,272,293,298,303,310,322,344,346,368,371,429,460,539,554,569,574,576,584,607,687,728,734,736,800,812,821,841,905,910,916,962,963,979"
12	"3,16,70,124,179,187,239,260,365,399,425,500,511,530,577,589,599,615,634,639,648,684,685,694,730,752,817,832,838,873,878,879,902,906,958,981,988"
13	"4,30,45,55,78,81,131,139,140,170,193,196,286,289,306,324,334,388,433,444,452,463,476,477,488,494,499,502,503,558,562,582,608,613,624,663,681,726,732,834,899,912,913,943,954,978,995"
14	"9,13,18,52,87,92,104,115,189,192,232,243,252,261,262,264,287,305,307,321,323,332,362,382,418,422,450,482,512,513,523,524,528,553,564,565,611,614,629,664,673,709,766,786,788,796,797,831,842,896,904,911,923,925,926,932,950,960,961,969,976,977"
15	"17,37,44,50,107,132,141,147,230,233,237,280,299,317,343,348,355,386,402,403,424,441,449,451,489,520,532,555,580,638,643,655,716,740,764,778,795,804,837,852,855,865,936,965,996"
16	"6,21,36,42,58,67,114,130,146,151,172,186,203,212,222,224,228,242,246,265,267,273,288,325,328,329,347,397,483,486,509,515,575,579,594,609,620,725,742,782,808,815,843,856,868,872,909,934,941,946,970,992,999"
17	"40,60,63,66,69,116,128,158,177,188,199,200,205,218,241,266,279,296,301,302,314,358,384,411,415,419,434,464,549,556,621,632,677,682,717,756,759,762,769,783,787,791,799,809,820,829,839,853,894,944,968,980,982"
18	"7,23,48,68,79,98,112,113,150,159,176,207,215,275,352,353,367,369,385,414,417,423,426,427,436,453,473,479,487,516,548,570,572,595,612,627,640,656,680,712,714,721,727,745,805,816,830,858,908,920,929,935,942,945,984,998,1000"
19	"20,33,38,77,149,153,194,221,229,274,339,361,364,373,391,395,404,421,435,447,501,505,514,517,534,547,557,603,619,651,690,718,747,753,775,840,867,884,895,901"
