0	"8,9,29,53,66,96,99,104,105,113,138,142,148,173,191,204,218,299"
1	"2,20,22,45,81,97,111,120,151,167,176,197,201,208,240,264,265,287"
2	"16,23,87,103,116,129,159,185,226,236,255"
3	"26,64,71,102,153,158,166,171,200,274,282,296"
4	"1,28,40,73,92,115,118,150,165,182,194,199,203,206,223,233,246,262"
5	"7,12,13,30,33,77,95,122,127,143,152,180,192,237,244,248,254,266,268,293"
6	"14,39,46,52,91,108,119,157,195,250,275,300"
7	"4,32,56,69,80,82,84,101,131,134,141,147,161,228,263,267,272,285"
8	"38,50,86,89,112,193,239,257,283"
9	"44,67,75,85,163,177,183,202,219,271,286"
10	"5,31,48,51,126,128,133,136,175,205,207,217,220,221,232,234,253,277"
11	"10,65,88,90,109,139,172,260,276"
12	"59,63,94,98,100,140,160,179,198,210,213,245,291"
13	"37,83,106,107,149,162,178,227,256,297"
14	"11,15,17,61,70,170,174,186,188,196,222,225,230,242,251,290,295"
15	"18,27,36,41,43,47,58,60,76,135,137,156,164,212,235,243"
16	"55,62,72,78,79,93,117,125,130,181,209,215,229,241,252,270,280,288"
17	"21,25,57,132,146,154,169,190,211,214,216,238,247,273,278"
18	"3,19,34,54,68,114,124,155,189,224,259,269,279,281,284,289"
19	"6,24,35,42,49,74,110,121,123,144,145,168,184,187,231,249,258,261,292,294,298"
