0	"9,127,137,150,182,186,216,217,232,270,273,278,280"
1	"38,76,81,88,96,97,146,154,160,193,240,242,246,250,251,274,298"
2	"12,16,54,73,79,173,177,181,184,228,231,237,241,245,272"
3	"1,40,64,94,134,138,139,142,143,156,161,190,275,287,292,296"
4	"3,24,26,28,32,33,34,37,67,69,85,113,120,208,214,215,268"
5	"15,21,51,98,116,140,162,163,166,171,224,257,261,282"
6	"22,42,52,59,122,124,125,136,141,145,149,157,277,300"
7	"30,55,58,86,95,99,100,105,155,164,167,209,211,219,249,262,276,299"
8	"49,57,63,68,72,132,135,159,172,207,210,260,281,291"
9	"10,11,23,25,104,121,129,153,179,213,252,283"
10	"19,45,66,84,102,169,195,239,253,258,290"
11	"50,70,71,89,118,185,191,192,201,220,229,238,263,264,297"
12	"2,8,14,43,77,92,144,175,203,218,269,285"
13	"5,35,60,61,65,82,103,117,128,148,170,178,189,200,204,235,248,255"
14	"17,20,27,29,48,75,80,87,90,106,130,151,174,180,199,236,243,266"
15	"4,13,18,46,62,108,123,133,158,168,188,197,198,254,256,259,265,267"
16	"6,31,56,93,112,147,194,221,222,226,234,288,289,295"
17	"7,39,44,47,74,78,83,115,152,165,202,205,223,244,279,286,293"
18	"53,91,109,110,119,131,176,183,187,206,212,225,227,233"
19	"36,41,101,107,111,114,126,196,230,247,271,284,294"
