0	"9,24,40,80,83,102,133,142,152,154,172,196,215,226,233,244,259,269,281,283,297,311,313,349,353,361,368,377,380,399,403,420,424,426,451,503,507,514,521,534,555,571,605,643,647,665,687,692,708,741,758,766,770,777,793,801,810,889,900,911,962,974,1000"
1	"18,54,67,75,125,132,164,245,249,272,289,318,321,322,334,343,345,423,431,434,443,453,477,513,517,557,577,581,589,591,595,631,634,673,716,731,753,774,813,828,832,844,888,891,909,913,927,939,947,948,955,992"
2	"14,27,31,37,79,89,96,111,120,153,180,199,200,216,232,246,280,294,362,366,373,412,519,574,596,614,629,641,649,650,656,664,691,693,698,765,775,780,838,924,930,949,996"
3	"35,63,74,122,123,130,151,155,221,235,239,254,265,286,303,305,328,331,332,364,374,384,387,397,400,411,421,433,464,473,474,497,502,532,538,563,578,611,642,654,721,723,739,750,798,800,845,873,881,885,892,896,897,899,902,932,944,964,970,988"
4	"25,48,50,95,146,157,159,188,243,273,293,320,341,395,410,432,478,487,498,544,564,579,587,633,662,676,684,715,717,728,734,759,763,825,833,878,886,906,917,977,980,999"
5	"12,16,29,41,70,72,97,104,124,136,145,167,182,204,213,222,257,277,284,288,309,329,339,356,386,389,391,428,459,479,482,516,537,546,602,612,705,709,711,764,785,809,819,826,829,836,858,865,871,921,937,979,986"
6	"61,110,114,129,138,156,169,203,211,258,260,295,326,337,340,348,357,367,369,388,406,446,468,486,504,524,530,561,575,609,613,668,713,736,744,746,797,803,806,848,855,859,870,904,916,958"
7	"20,58,60,64,91,100,107,115,139,149,191,197,202,214,224,333,372,381,382,383,452,462,472,496,500,543,545,551,554,567,604,648,652,672,682,689,720,767,772,782,788,812,835,841,874,877,894,920,922,928,969,983"
8	"3,21,38,69,76,93,117,131,148,187,189,205,223,231,267,271,292,323,363,439,441,470,481,491,527,541,560,573,576,582,603,607,646,695,696,724,730,737,740,771,786,787,791,805,846,850,857,867,905,908,915,938,987,998"
9	"1,8,13,17,36,51,59,90,140,158,219,268,270,276,315,418,445,483,511,518,550,556,585,590,623,678,703,792,814,815,884,923,934,965,966,967,971"
10	"23,68,78,86,87,105,118,126,135,141,163,174,176,177,195,227,228,236,253,296,302,306,307,347,359,371,407,415,430,442,450,455,457,461,467,509,525,540,542,569,606,618,627,632,638,645,660,679,719,861,893,912,918,942,945,952,956,982"
11	"19,98,184,190,241,247,264,285,336,344,405,448,458,469,515,520,522,529,553,594,598,636,651,657,681,701,733,738,831,868,879,895,954,957,991,994"
12	"11,49,55,73,106,119,134,178,207,234,240,263,279,324,351,352,365,375,392,485,531,572,580,610,622,639,659,700,722,755,776,795,820,863,876,898,919,926"
13	"6,7,45,62,88,103,168,248,250,266,304,319,325,335,354,376,444,454,480,493,495,535,566,584,600,617,628,635,637,655,669,671,686,690,697,748,761,769,779,824,852,910,953,973,976,997"
14	"33,39,46,52,77,81,101,116,173,186,212,238,242,256,274,278,301,310,360,393,404,422,429,447,449,463,466,484,523,583,593,601,619,626,653,667,675,685,688,743,751,754,760,762,790,794,796,808,818,822,840,847,849,851,856,890,901,931,984,985,990,995"
15	"2,30,84,85,150,166,175,185,193,209,237,287,299,308,317,327,330,346,355,396,409,419,425,471,476,488,499,536,588,599,624,640,661,666,706,707,726,752,781,804,817,837,854,875,883,936,940,941,978,981"
16	"26,43,47,56,65,82,108,127,144,160,161,162,171,179,181,194,220,252,312,316,338,350,402,408,413,465,501,533,539,549,615,620,658,663,670,735,747,802,834,862,864,869,872,907,933,963,968,972"
17	"4,22,28,42,44,57,71,183,198,206,210,229,251,262,298,358,378,414,435,440,456,489,492,505,512,528,548,559,565,570,597,608,616,621,644,674,677,680,683,699,712,714,727,756,821,839,843,853,860,866,887,935,946,951,959"
18	"92,94,109,113,121,147,165,170,192,201,208,217,218,225,255,275,290,314,370,379,385,394,398,401,417,427,460,552,562,568,586,592,704,729,732,742,745,749,757,783,807,816,827,882,903,929,993"
19	"5,10,15,32,34,53,66,99,112,128,137,143,230,261,282,291,300,342,390,416,436,437,438,475,490,494,506,508,510,526,547,558,625,630,694,702,710,718,725,768,773,778,784,789,799,811,823,830,842,880,914,925,943,950,960,961,975,989"
