0	"34,35,70,72,148,151,156,159,188,206,274,292,331,336,338,339,385,392,393,423,451,474,494,498,502,530,540,558,599,601,629,637,647,648,696,724,744,752,757,791,792,798,814,932,934,973,979"
1	"96,102,126,149,153,168,175,243,244,263,316,333,342,350,351,374,380,384,395,412,458,479,529,531,544,567,581,591,594,606,619,627,685,730,733,737,755,762,797,800,835,873,885,926,943,950"
2	"1,32,36,41,44,81,128,140,191,215,217,278,290,306,307,394,401,439,506,511,525,532,551,575,603,605,611,617,689,702,704,712,719,723,731,743,774,813,815,837,868,904,910,971"
3	"3,43,47,91,113,131,171,189,259,285,300,319,330,369,373,391,396,397,442,456,501,510,541,559,583,624,665,694,695,708,746,770,787,788,796,820,826,856,881,918,921,949,961"
4	"6,19,38,58,78,80,85,86,99,146,165,166,229,230,235,242,258,322,327,366,398,420,421,447,460,462,475,477,488,512,534,546,571,573,598,620,623,652,672,676,681,749,753,767,794,809,819,827,830,831,833,840,842,845,870,871,880,899,911,920,925,941,945,947,982,993,1000"
5	"12,26,89,125,144,204,212,224,227,294,311,325,343,379,411,426,441,461,464,467,485,513,528,566,570,580,584,622,643,644,645,669,701,727,780,822,825,836,852,872,877,897,900,901,922,930,954"
6	"2,45,83,84,93,118,120,122,127,172,180,187,197,277,287,323,349,358,375,387,388,399,438,493,515,561,677,684,703,706,717,735,783,793,808,823,832,865,883,933,956,967,987,990,992"
7	"17,33,37,53,71,87,90,105,116,139,167,183,198,247,254,282,309,346,353,418,437,444,449,497,503,537,556,614,632,634,638,656,660,662,679,720,728,729,754,769,779,802,805,807,847,874,887,890,893,917,976,977"
8	"14,22,23,31,52,62,68,75,111,117,124,161,193,248,264,270,280,281,289,299,301,347,357,378,404,407,424,436,448,463,468,523,533,539,589,592,595,596,642,667,699,707,718,721,742,768,812,818,821,844,859,864,891,915,919,970,986,991,994,997"
9	"4,15,24,54,65,100,130,134,141,142,164,169,181,218,253,268,315,318,329,344,400,410,422,428,433,445,446,454,483,495,519,542,557,560,564,585,604,610,651,726,732,786,804,843,875,892,906,916,929,938,951"
10	"16,184,194,225,239,252,288,296,377,386,416,484,491,505,509,568,569,609,616,636,653,686,687,697,714,734,756,765,766,772,781,782,806,839,846,849,869,886,902,913,923,928,935,946,948,960,968,969,978,984,985,988,998"
11	"7,21,25,55,56,77,92,123,138,178,179,199,201,216,220,234,262,267,275,297,321,335,337,348,362,408,427,434,472,473,504,514,522,563,612,613,641,659,668,674,682,690,692,725,750,758,775,810,829,848,858,882,889,912,939,942,952,975"
12	"28,39,49,57,69,73,76,101,106,136,158,162,170,241,249,276,293,305,332,419,465,476,593,597,615,626,646,661,680,688,698,771,778,850,879,884,888,907,936,958,963"
13	"8,29,42,46,59,95,98,103,115,137,152,202,205,207,231,236,237,238,245,273,298,302,345,352,354,360,372,383,389,390,403,405,425,440,482,517,524,535,543,555,607,663,691,738,741,760,773,784,838,914,924,965"
14	"5,74,110,119,135,150,157,219,226,255,283,291,320,363,364,365,368,413,457,459,469,470,471,520,553,582,600,625,678,713,715,716,759,761,790,811,851,855,878,894,896,898,903,908,937,980"
15	"10,27,30,82,88,97,104,112,114,133,174,186,203,210,250,257,261,269,303,312,324,356,376,466,481,516,547,549,550,576,588,590,621,628,630,655,657,658,675,710,739,740,745,763,764,795,824,828,854,857,867,962,966,972,983"
16	"18,48,61,94,121,132,145,155,163,200,228,240,260,265,266,304,313,314,334,341,355,402,435,453,455,490,500,507,521,536,538,562,565,577,586,649,650,666,671,693,705,709,747,751,785,816,853,860,944,953,957,959,989"
17	"40,50,64,67,79,107,109,147,173,177,182,185,190,211,214,256,272,286,317,367,371,409,429,443,486,508,572,618,631,639,700,711,722,736,799,817,834,861,866,927,964,995,996,999"
18	"11,51,60,66,108,160,192,195,196,208,209,221,222,223,232,251,284,295,308,310,328,340,382,414,415,417,430,431,432,452,480,492,496,499,518,526,527,548,554,574,578,602,608,635,654,664,670,673,776,777,789,803,863,876,905,909,974,981"
19	"9,13,20,63,129,143,154,176,213,233,246,271,279,326,359,361,370,381,406,450,478,487,489,545,552,579,587,633,640,683,748,801,841,862,895,931,940,955"
