0	"1,11,51,74,104,121,138,157,169,184,242,273,290"
1	"43,77,78,94,120,155,168,199,201,268,275"
2	"109,122,144,153,165,174,187,205,215,222,279,287,294"
3	"14,23,42,60,62,108,113,132,139,172,173,208,247,249,278,298"
4	"26,44,46,98,99,102,125,163,209,212,272"
5	"6,15,18,58,115,126,136,152,162,164,224,231,276,281"
6	"2,8,13,72,89,117,127,159,160,177,191,196,200,206,219,230,233,251,256,292"
7	"3,33,36,61,81,82,91,101,103,119,142,151,178,186,207,218,220,263,267,274,284,289"
8	"5,55,70,73,75,116,182,192,214,228,243,245,264,286,296"
9	"4,10,17,19,20,22,45,49,67,88,107,128,154,167,175,185,198,210,216,223,229,285"
10	"50,54,106,118,135,183,202,238,239,259"
11	"7,37,53,85,86,137,141,149,213,217,225,227,246,277,280,300"
12	"28,38,92,93,96,114,123,171,180,195,252,260,262"
13	"24,34,69,76,129,133,147,204,211,234,236,297"
14	"9,25,27,31,48,68,71,79,90,100,161,190,203,240,248,253,254,269,283"
15	"12,32,39,63,83,130,140,148,188,193,241,250,299"
16	"30,59,64,80,84,87,97,110,131,156,158,179,197,291"
17	"16,29,35,52,66,95,105,124,143,166,170,221,226,232,237,258,282,288,293"
18	"40,41,56,65,134,176,244,257,261,266,295"
19	"21,47,57,111,112,145,146,150,181,189,194,235,255,265,270,271"
