0	"12,43,75,81,86,91,104,110,118,142,143,144,148,158,160,198,207,227,249,271,293"
1	"9,16,28,40,111,116,134,166,182,203,246,250,272,274"
2	"45,46,56,57,59,65,113,114,121,186,188,192,200,202,206,221"
3	"95,98,100,152,159,162,168,179,228,241,273,288,300"
4	"4,21,27,37,50,58,78,137,140,173,177,223,235,263,294"
5	"39,62,67,99,101,141,150,180,194,201,245,268,269,275"
6	"2,20,22,34,48,61,63,90,97,109,119,122,157,175,190,209,216,226,279,286"
7	"6,102,106,108,154,155,164,167,183,195,225,229,236,244,254,282,290,292"
8	"7,11,23,79,82,120,126,131,139,185,237,299"
9	"18,36,38,89,115,133,145,156,161,163,220,232,234,289"
10	"29,41,68,84,123,136,149,165,193,210,213,260,277,278"
11	"19,44,49,52,73,77,94,128,129,146,219,230,267,281"
12	"31,53,60,127,130,132,184,191,215,243,251,276"
13	"3,5,24,32,54,80,88,92,117,174,181,196,199,208,214,218,224,257,259,261"
14	"1,10,14,35,42,47,64,72,85,105,112,124,125,138,151,153,169,172,176,187,205,252,287,297,298"
15	"13,51,217,262,264,265,266,280,296"
16	"15,33,70,71,103,107,171,222,231,242,258,285,295"
17	"8,17,30,69,83,96,147,178,189,212,247,248,253,255,256,270,283,291"
18	"25,93,170,204,233,238,240,284"
19	"26,55,66,74,76,87,135,197,211,239"
