0	"20,72,80,87,91,97,108,130,163,164,173,174,176,177,184,220,228,238,259,271,297"
1	"24,35,40,60,74,90,107,112,154,192,193,207,217,249,251,255,256,291"
2	"10,68,101,162,194,208,235,242"
3	"14,45,73,84,85,114,136,160,170,199,215,232,244,284"
4	"18,28,32,43,47,82,103,123,132,151,179,258,265,272,287,300"
5	"4,11,13,29,33,39,50,54,61,62,65,93,116,120,188,221,226,240,270"
6	"3,51,57,66,92,99,138,171,185,236,237,260,282,292,294"
7	"5,15,22,78,89,109,159,181,198,209,219,243,264,289"
8	"7,31,117,180,214,261,280"
9	"26,46,49,56,88,98,100,115,118,152,157,189,205,206,298"
10	"53,77,81,95,110,111,119,128,131,133,147,239,241,247,254,275,277,278,286"
11	"1,8,70,71,96,102,104,142,145,148,182,186,196,197,200,229,253,273,285,295"
12	"17,19,27,34,58,122,124,143,155,168,169,172,183,210,224,245,246,276"
13	"16,36,139,146,167,213,231,279,281"
14	"86,137,227,263"
15	"2,25,37,41,48,113,153,158,161,187,204,234,268,274"
16	"9,12,55,64,75,79,83,94,125,165,166,190,191,195,201,202,203,212,223,233,250,266,290"
17	"21,30,42,44,67,129,134,135,141,150,156,216,218,225,230,257,283,296,299"
18	"6,23,38,52,105,106,121,144,175,211,222,248,252,267,269,288"
19	"59,63,69,76,126,127,140,149,178,262,293"
