0	"30,35,72,84,85,91,181,198"
1	"5,94,99,104,125,150,152,158,191"
2	"2,29,47,56,96,133,140,141,162,167"
3	"9,31,46,53,59,101,160,169,172,175"
4	"7,54,68,81,92,109,138,154,178,182,185"
5	"10,11,28,38,52,122,129,136,189"
6	"4,12,13,32,39,40,58,64,87,102,110,124,145,165,170,180"
7	"24,43,67,75,79,82,97,112,115,121,161,168,171,173,183,186,199"
8	"65,83,90,111,119,128,155"
9	"44,62,77,80,190"
10	"6,17,45,61,70,78,188,197"
11	"23,26,27,88,120,131,134,148,176,179"
12	"36,106,137,174"
13	"3,116,142,147,149,156,157,163,193,195"
14	"15,25,55,89,114,118,127,146,153"
15	"21,34,50,60,71,103,151,196"
16	"8,14,18,22,41,51,93,100,107,113,177,194"
17	"33,57,74,86,126,132,144,159,164,166,192"
18	"1,16,20,42,63,69,76,95,98,117,123,130,135,139,187,200"
19	"19,37,48,49,66,73,105,108,143,184"
