0	"22,28,35,63,66,175,189"
1	"2,6,37,44,69,70,110,126,136,170,179,181,184"
2	"10,25,43,64,75,83,99,107,183,193"
3	"9,30,48,119,120,123,157,192"
4	"1,19,42,57,77,80,82,89,105,142,145,165"
5	"3,51,59,76,96,109,116,151"
6	"4,8,16,56,61,86,92,108,160,166,171,173,180,197"
7	"5,27,55,100,112,134,146,172"
8	"12,15,26,71,79,84,91,111,125,127,128,158,200"
9	"13,65,87,121,147,169"
10	"17,31,36,53,78,90,138,143,149,177,182,196"
11	"68,101,106,114,150,155,159,191"
12	"24,32,46,50,94,102,104,113,133,140,154,156,167,178,185,194"
13	"18,23,60,122,124,129,137,139,141,144,176,190,199"
14	"11,74,95,103,117,131,164,195"
15	"54,58,153,168,186"
16	"7,33,67,73,88,130,162,188"
17	"29,39,81,118,161,174"
18	"14,20,38,40,41,47,52,72,93,97,132,135,163,198"
19	"21,34,45,49,62,85,98,115,148,152,187"
