0	"2,60,72,87,92,119,127,141,146,167"
1	"17,55,73,98,102,109,120,128,133,150,151,181,200"
2	"36,75,91,117,134,148,154,172,177,179"
3	"1,30,49,107,126,169,184,191"
4	"10,37,46,64,66,78,88,95,110,118,122,142,188,190"
5	"7,26,48,53,96,114,139,171,174,199"
6	"45,56,69,93,106,164,185"
7	"3,9,23,29,31,33,65,71,97,125,153,161,162,176,186"
8	"5,54,74,89,99,137,166,173,187,196"
9	"22,39,51,58,61,70,130,145,149,155,156,165,198"
10	"40,47,62,67,83,113,115,123,129,136,157,168,178,193"
11	"11,12,14,38,44,63,135,180"
12	"15,19,20,24,25,52,59,76,90,116,159,192,194"
13	"18,108,124,147,160,175"
14	"34,57,68,94,111,132,163"
15	"27,35,82,84,100,104,105,121,131,138,140,152"
16	"16,32,43,50,77,79,80,183"
17	"4,21,41,42,112,144,170,189,195"
18	"8,13,28,86,101,158"
19	"6,81,85,103,143,182,197"
