0	"61,114,115,141,149,159,167,169,186,209,227,234,246,262,327,331,338,341,369,380,381,391,399,414,423,424,427,434,450,484,488,550,575,587,627,634,690,706,743,750,797,827,855,872,876,919,928,969,995"
1	"38,45,87,108,118,134,158,170,185,201,233,241,249,281,360,363,388,394,413,417,430,458,476,483,534,535,538,556,579,632,640,683,710,717,741,746,758,762,782,823,882,887,898,961,964"
2	"21,42,62,88,99,116,129,136,153,176,208,213,221,229,280,286,323,328,329,353,376,382,383,398,400,428,461,500,516,526,539,546,557,598,622,631,664,668,675,691,723,764,786,796,800,822,839,858,864,883,907,915"
3	"31,40,93,122,162,189,191,192,194,215,230,237,239,275,303,339,405,412,422,439,465,469,491,498,530,595,614,623,658,686,698,715,737,740,752,756,779,810,844,846,884,894,899,904,953,972,973,975,989,993"
4	"2,9,49,57,69,74,76,86,92,106,107,112,120,147,151,160,187,195,197,231,278,288,297,306,319,330,347,418,426,446,448,459,471,499,506,508,510,529,536,548,571,602,606,610,619,626,672,722,757,771,818,842,852,897,920,924,925,926,929,946,974"
5	"7,8,10,12,15,36,59,78,79,84,100,103,184,238,265,293,313,315,321,334,359,366,385,396,402,462,505,515,531,540,541,577,580,585,615,636,649,677,718,736,791,819,826,830,848,857,901"
6	"5,50,52,72,83,132,133,144,163,165,248,253,264,283,289,326,374,392,393,395,404,440,457,494,511,520,523,525,547,570,583,586,638,642,665,667,669,670,766,777,778,803,804,806,808,836,891,892,905,916,930,957,962,983,992"
7	"29,54,70,71,81,105,171,175,190,193,202,210,218,222,232,245,274,284,290,300,304,308,361,416,449,470,486,493,562,603,628,648,652,657,660,676,730,738,751,788,792,799,807,814,845,847,865,908,913,918,931,940,942,990,994"
8	"22,24,60,65,82,104,111,121,183,188,199,243,252,259,333,345,355,377,438,455,456,468,481,497,568,594,637,650,663,680,692,695,707,731,733,735,811,815,867,923,934,944,950,959,982"
9	"4,14,25,44,46,47,68,77,97,109,124,130,157,214,219,235,250,267,269,287,314,318,352,365,452,473,517,519,533,537,588,596,643,767,773,775,798,817,820,871,873,945,948,952,963,971,977"
10	"26,28,35,56,67,119,126,127,146,211,268,312,316,317,332,368,454,466,479,482,507,524,554,576,599,659,678,685,714,749,769,776,789,829,832,851,856,879,881,885,903,906,909,921,933,938,966,998"
11	"51,66,140,150,173,206,217,254,256,266,270,271,348,367,384,420,477,490,502,528,543,563,572,581,589,604,607,613,655,673,694,739,754,794,795,813,840,914"
12	"6,20,23,33,55,63,80,110,137,138,143,172,203,204,205,220,226,251,298,311,322,324,357,378,387,390,409,435,474,527,545,553,633,635,679,689,693,725,732,744,763,835,878,889,890,896,912,922,927,935,958,967"
13	"1,19,34,64,101,179,244,255,263,276,292,296,320,342,371,372,403,407,410,429,432,433,436,437,445,467,501,514,542,565,591,618,620,625,630,644,653,709,712,729,753,759,765,784,785,787,900,911,917,943,981,996"
14	"39,58,113,123,142,156,181,216,223,257,277,291,305,335,358,362,379,401,408,419,441,442,443,478,485,496,509,532,552,573,601,624,629,639,647,661,682,699,711,716,812,821,828,841,859,868,875,893,895,932,937,968,976,984,985,1000"
15	"53,96,98,148,152,174,198,200,225,236,273,299,307,309,336,451,453,472,489,512,544,549,551,560,574,593,597,608,609,621,641,646,703,719,721,726,728,734,745,760,780,793,834,849,910,939,949,960,970"
16	"11,30,91,102,117,168,178,212,240,260,272,285,294,295,325,340,343,349,354,356,406,415,431,444,495,504,522,558,564,566,567,569,582,584,590,592,600,605,612,681,701,704,768,770,801,860,866,870,936,955,965,980,987,988"
17	"18,32,43,89,95,135,145,161,224,228,247,302,344,346,350,351,364,373,375,425,480,487,492,521,559,616,617,645,651,654,656,697,713,747,748,772,809,833,853,861,862,874,947,954,991,999"
18	"27,73,75,90,94,125,154,164,177,180,182,196,207,242,258,279,282,370,397,421,460,463,464,503,518,578,611,674,684,688,696,702,705,720,724,742,755,761,774,783,790,802,805,816,824,831,850,854,869,951,979,986,997"
19	"3,13,16,17,37,41,48,85,128,131,139,155,166,261,301,310,337,386,389,411,447,475,513,555,561,662,666,671,687,700,708,727,781,825,837,838,843,863,877,880,886,888,902,941,956,978"
