0	"5,23,43,44,80,83,84,90,97,118,147,169,183,187,189,210,230,248,252,286,316,319,341,345,351,375,407,421,468,495,502,531,553,566,579,586,588,597,649,664,700,745,770,782,787,788,797,849,886,917,930,933,954"
1	"20,27,53,77,122,130,162,193,198,237,250,253,257,275,281,294,334,347,349,413,417,448,449,453,527,546,595,624,644,662,676,688,696,705,722,771,798,806,818,832,867,887,895,922,986"
2	"42,55,75,78,79,81,95,138,195,212,213,227,256,290,296,300,327,338,348,356,360,367,405,410,418,434,483,492,496,503,511,549,618,645,652,663,669,683,715,720,735,764,773,776,780,785,847,897,902,908,927,935"
3	"67,73,96,134,152,166,171,203,206,226,228,231,238,258,263,266,267,269,279,303,308,331,337,366,380,395,399,452,463,488,505,521,529,532,547,589,600,616,661,679,738,794,796,833,872,875,879,884,888,893,901,915,916,918,953,955,971,973,989,999"
4	"2,58,61,89,109,119,120,131,139,146,172,185,234,270,321,378,466,472,490,512,519,520,550,585,599,609,623,666,675,763,778,795,835,880,892,903,907,923,940,949,956,962,975"
5	"1,11,14,40,50,86,101,126,143,163,174,197,201,233,236,242,243,273,293,295,339,400,419,422,485,486,504,513,517,575,580,594,596,613,630,637,686,704,721,799,856,869,882,900,920,928,946,963,968"
6	"24,38,92,116,128,148,161,165,179,186,207,225,282,283,369,371,374,402,403,465,480,509,538,561,565,571,592,619,629,651,655,673,707,711,713,717,725,732,740,744,768,781,786,810,834,846,868,896,926,950,958,964,976,1000"
7	"31,33,35,41,46,59,102,136,168,202,219,229,262,271,391,396,408,430,436,439,440,443,444,451,467,470,489,498,499,543,551,602,605,612,617,620,622,635,674,693,708,726,734,736,753,755,760,807,811,814,836,848,860,861,862,874,877,881,919,959,960,982,991,993"
8	"9,29,48,65,87,104,105,106,115,125,151,204,261,276,289,297,335,336,355,359,420,441,458,475,479,487,506,524,578,587,631,633,706,709,727,730,741,746,767,802,823,853,870,889,891,905,936,941,951,974,980,992"
9	"60,98,117,149,153,160,175,176,180,214,235,264,265,278,284,287,307,324,330,333,364,377,390,409,454,477,555,559,560,573,598,608,615,626,627,640,647,653,680,682,703,733,742,752,758,769,790,813,817,822,826,837,840,841,866,937,957,967"
10	"28,51,94,107,111,133,142,167,181,199,216,274,291,309,312,323,342,362,370,397,412,438,445,457,474,481,497,523,537,563,606,625,636,697,710,729,737,824,828,857,859,890,910,924,943,981,995"
11	"69,88,114,173,190,194,215,217,232,244,254,304,314,315,320,329,389,398,428,431,435,437,442,455,484,510,564,568,577,603,642,668,671,692,694,723,756,762,791,808,812,816,844,854,885,912,939,969,987,994"
12	"13,16,32,47,54,72,74,82,140,150,164,205,211,223,247,285,322,332,340,344,353,357,406,416,456,459,473,508,526,583,628,660,698,716,719,728,751,759,783,804,845,932,934,966,977,990"
13	"3,4,25,34,37,103,132,154,156,184,188,208,221,260,280,292,325,326,343,346,350,352,363,368,383,385,388,392,423,425,427,464,469,501,535,536,558,607,614,646,678,681,691,718,777,784,792,819,825,838,871,883,898,906,909,944,945,948,979,985,997"
14	"17,18,39,56,64,68,70,71,129,144,145,158,191,200,224,365,373,393,394,446,518,522,539,556,562,570,590,621,634,638,656,665,672,699,724,748,765,815,830,855,911,942,961,984,998"
15	"6,15,22,45,57,62,63,91,93,123,141,170,177,182,196,239,299,313,379,433,461,471,478,525,528,534,540,542,552,581,593,639,641,648,670,687,701,702,712,739,743,757,761,766,774,800,821,850,865,899,914,938,947,988"
16	"10,19,52,108,112,121,157,192,209,255,277,376,381,382,411,432,500,530,544,548,582,632,677,714,731,749,750,754,772,779,789,801,803,829,851,913,929"
17	"7,30,49,137,178,220,222,251,259,288,310,311,328,354,358,384,387,401,482,493,494,515,516,541,545,554,569,572,591,601,611,650,654,657,684,793,809,863,864,873,904,952,965,970,996"
18	"12,21,26,36,66,76,85,100,110,113,159,245,249,272,301,302,306,317,318,361,372,386,415,424,460,507,533,567,584,604,610,659,667,695,747,805,820,858,876,894,921,931,978"
19	"8,99,124,127,135,155,218,240,241,246,268,298,305,404,414,426,429,447,450,462,476,491,514,557,574,576,643,658,685,689,690,775,827,831,839,842,843,852,878,925,972,983"
