0	"6,44,50,56,60,99,106,115,119,128,174,183,186,227,268,300,301,360,416,434,436,451,453,488,496,562,568,609,683,779,800,841,871,880,939,958,964,981,984"
1	"14,51,57,82,89,92,102,114,154,169,179,182,184,195,231,233,255,256,264,281,315,317,326,356,390,391,395,397,400,406,435,439,464,471,490,501,512,535,651,662,681,687,742,770,788,791,797,803,814,864,902,926,941,951,966"
2	"17,130,133,138,181,200,218,224,230,239,244,267,358,431,474,475,479,541,542,552,556,577,583,623,624,629,664,667,668,692,703,704,711,726,733,759,769,774,823,830,832,872,891,910,922,986,987"
3	"1,5,29,48,62,71,77,78,95,97,100,156,173,177,219,237,259,266,299,302,364,377,379,398,407,411,432,478,553,557,561,566,569,582,602,604,618,642,649,665,684,699,708,718,734,748,752,760,789,811,818,835,923,931,932,940,945,976"
4	"21,28,58,61,84,98,104,108,146,191,204,210,222,226,246,247,251,254,261,282,314,332,354,380,417,428,448,503,511,524,536,537,546,567,600,613,628,634,639,658,661,679,690,745,747,749,756,761,792,798,802,838,840,851,889,890,911,919,960,991,994"
5	"7,25,43,63,75,79,141,142,171,193,209,214,257,271,275,276,288,310,345,361,372,374,402,456,467,480,492,516,538,575,586,591,616,654,670,672,685,686,799,812,843,844,846,868,898,906,913,928,933,963,965,971,982"
6	"2,24,111,172,178,192,194,225,253,263,293,294,305,316,371,392,426,438,484,520,565,576,606,611,641,663,674,698,700,709,710,712,727,728,730,751,775,826,848,850,870,886,894,909,924,927,967,978,983,985,989,998"
7	"23,30,72,87,103,117,134,135,140,145,166,176,188,196,201,249,270,278,285,290,340,348,350,365,367,375,389,418,419,444,465,476,500,533,540,551,578,592,594,633,647,648,656,669,680,697,707,767,773,796,824,916,938,969,974,980"
8	"3,38,55,81,107,109,147,158,170,206,235,238,252,280,295,303,319,343,352,363,421,425,445,460,482,497,518,530,531,545,555,590,625,644,645,652,676,701,716,732,740,837,881,882,899,908,918,942,954,970,972"
9	"13,16,32,33,46,64,88,101,110,143,150,161,164,180,189,197,199,207,212,220,221,236,269,289,296,297,308,311,312,327,335,346,353,384,393,427,440,457,495,507,580,650,659,705,721,736,754,757,794,809,820,853,854,873,903,907,917,925,930,935"
10	"15,20,39,49,52,69,120,124,148,157,168,185,190,205,208,211,248,298,342,347,409,429,433,458,466,494,509,544,596,603,607,614,621,630,657,729,755,762,780,822,825,845,865,883,895,943,962,995"
11	"35,67,76,86,93,137,202,304,324,329,338,355,370,443,461,498,505,508,519,572,581,588,593,595,646,675,723,737,739,750,777,785,787,869,875,885,896,897,929,950,979,992"
12	"8,12,34,68,113,118,126,149,203,213,215,240,241,245,279,313,322,387,403,405,412,420,423,424,462,499,522,523,534,539,619,632,714,720,722,725,741,743,763,764,776,804,857,860,893,905,953"
13	"18,54,70,74,129,131,132,151,153,287,318,334,339,351,382,437,447,455,469,510,515,529,547,573,597,608,655,673,688,694,702,735,738,753,766,793,795,805,815,819,821,831,839,849,862,915,955,993"
14	"4,9,36,45,112,116,123,127,165,250,273,330,366,485,491,532,550,560,564,571,599,612,622,666,806,808,817,836,920,952,957,959,977,990,999"
15	"26,37,42,65,66,94,125,136,152,155,167,198,228,284,321,325,336,344,376,378,381,414,441,442,472,481,483,514,525,563,601,637,678,717,859,900,912,946,975,1000"
16	"10,19,53,90,91,121,163,216,286,291,333,357,369,386,401,410,415,430,449,452,463,470,486,487,506,517,549,554,559,570,579,584,615,617,620,626,638,640,653,660,696,715,771,781,813,827,855,866,867,877,878,944,988"
17	"22,40,47,73,144,160,187,232,262,272,274,292,331,337,450,459,513,528,548,574,598,636,643,671,682,713,724,744,765,816,842,863,884,892,904,948,968"
18	"11,31,80,83,85,96,105,162,217,229,242,277,306,309,320,323,328,368,383,385,396,399,413,422,473,489,493,502,504,526,543,587,589,631,635,691,693,695,719,746,758,801,807,833,834,847,852,879,887,888,901,914,921,934,936,947,961,996,997"
19	"27,41,59,122,139,159,175,223,234,243,258,260,265,283,307,341,349,359,362,373,388,394,404,408,446,454,468,477,521,527,558,585,605,610,627,677,689,706,731,768,772,778,782,783,784,786,790,810,828,829,856,858,861,874,876,937,949,956,973"
